Provinsi/Kabupaten/Kota,Laki-laki (2020),Laki-laki (2021),Laki-laki (2022),Perempuan (2020),Perempuan (2021),Perempuan (2022)
Fakfak,66.51,66.58,66.74,70.39,70.42,70.72
Kaimana,62.92,63.06,63.28,66.66,66.81,67.23
Teluk Wondama,58.31,58.46,58.68,61.86,62.03,62.44
Teluk Bintuni,59.03,59.21,59.48,62.61,62.81,63.28
Manokwari,66.73,66.89,67.15,70.61,70.77,71.21
Sorong Selatan,64.33,64.47,64.68,68.13,68.3,68.7
Sorong,64.19,64.32,64.55,67.99,68.14,68.57
Raja Ampat,62.85,62.94,63.11,66.61,66.73,67.1
Tambrauw,58.33,58.43,58.82,61.89,61.96,62.5
Maybrat,63.25,63.31,63.46,67.07,67.17,67.54
Manokwari Selatan,65.62,65.68,65.83,69.49,69.52,69.77
Pegunungan Arfak,65.3,65.35,65.49,69.15,69.17,69.46
Kota Sorong,68.76,69.01,69.37,72.61,72.87,73.42
PAPUA,64.02,64.15,64.34,67.65,67.79,68.16
Merauke,65.3,65.4,65.57,68.89,68.94,69.23
Jayawijaya,57.84,58.13,58.47,61.38,61.63,62.01
Jayapura,64.93,64.93,64.98,68.95,69.08,69.46
Nabire,65.97,65.98,66.05,69.99,70.08,70.41
Kepulauan Yapen,67.04,67.04,67.09,71.04,71.1,71.39
Biak Numfor,66.17,66.17,66.23,70.19,70.24,70.53
Paniai,64.33,64.36,64.46,68.33,68.51,68.9
Puncak Jaya,63.25,63.48,63.76,67.01,67.19,67.59
Mimika,70.42,70.52,70.69,74.19,74.23,74.51
Boven Digoel,58.16,58.53,58.97,61.73,62.07,62.56
Mappi,63.21,63.46,63.75,66.96,67.15,67.56
Asmat,56.28,56.83,57.15,59.75,60.28,60.66
Yahukimo,63.99,64.15,64.33,67.81,67.94,68.28
Pegunungan Bintang,62.41,62.42,62.48,66.3,66.41,66.73
Tolikara,63.78,63.95,64.13,67.57,67.68,67.99
Sarmi,64.43,64.57,64.79,68.24,68.34,68.69
Keerom,64.6,64.6,64.86,68.59,68.69,69.03
Waropen,64.39,64.51,64.7,68.22,68.31,68.64
Supiori,64,64.16,64.39,67.82,67.95,68.33
Mamberamo Raya,56.03,56.29,56.6,59.47,59.69,60.04
Nduga,53.57,53.71,53.86,56.88,57.03,57.36
Lanny Jaya,64.02,64.02,64.18,67.96,68.01,68.28
Mamberamo Tengah,61.71,61.91,62.14,65.44,65.59,65.95
Yalimo,63.39,63.4,63.56,67.29,67.37,67.68
Puncak,64.2,64.39,64.51,67.61,67.73,68.07
Dogiyai,63.8,63.97,64.19,67.6,67.72,68.07
Intan Jaya,63.58,63.61,63.89,67.47,67.55,67.86
Deiyai,63.32,63.48,63.72,67.1,67.23,67.61
Kota Jayapura,68.42,68.45,68.75,72.37,72.46,72.79
